<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.02.05	07:00:00	22.534	22.560	22.497	22.554	1339	0	18
2024.02.05	08:00:00	22.557	22.587	22.510	22.580	1412	0	18
2024.02.05	09:00:00	22.578	22.589	22.501	22.538	1652	0	8
2024.02.05	10:00:00	22.537	22.544	22.425	22.440	1746	0	8
2024.02.05	11:00:00	22.440	22.474	22.353	22.411	1726	0	8
2024.02.05	12:00:00	22.413	22.456	22.401	22.439	1599	0	9
2024.02.05	13:00:00	22.440	22.517	22.429	22.483	1409	0	8
2024.02.05	14:00:00	22.488	22.501	22.399	22.399	1504	0	8
2024.02.05	15:00:00	22.401	22.404	22.234	22.292	2685	0	19
2024.02.05	16:00:00	22.298	22.428	22.257	22.401	2715	0	19
2024.02.05	17:00:00	22.406	22.406	22.279	22.323	2986	0	19
2024.02.05	18:00:00	22.325	22.352	22.254	22.278	1717	0	8
2024.02.05	19:00:00	22.278	22.352	22.267	22.346	1437	0	7
2024.02.05	20:00:00	22.347	22.378	22.314	22.356	1261	0	8
2024.02.05	21:00:00	22.357	22.379	22.336	22.347	1096	0	8
2024.02.05	22:00:00	22.344	22.358	22.307	22.345	1123	0	8
2024.02.05	23:00:00	22.335	22.354	22.319	22.336	381	0	11
2024.02.06	01:00:00	22.327	22.333	22.286	22.292	409	0	18
2024.02.06	02:00:00	22.292	22.338	22.285	22.324	537	0	16
2024.02.06	03:00:00	22.329	22.357	22.307	22.346	1077	0	18
2024.02.06	04:00:00	22.346	22.357	22.307	22.342	997	0	18
2024.02.06	05:00:00	22.342	22.358	22.310	22.314	1124	0	18
2024.02.06	06:00:00	22.320	22.362	22.301	22.351	735	0	18
2024.02.06	07:00:00	22.357	22.462	22.344	22.430	1329	0	18
2024.02.06	08:00:00	22.433	22.442	22.362	22.375	1277	0	18
2024.02.06	09:00:00	22.378	22.433	22.368	22.377	1258	0	8
2024.02.06	10:00:00	22.376	22.382	22.309	22.320	1212	0	8
2024.02.06	11:00:00	22.322	22.334	22.292	22.297	1305	0	8
2024.02.06	12:00:00	22.296	22.316	22.262	22.278	1182	0	8
2024.02.06	13:00:00	22.279	22.328	22.264	22.295	1201	0	8
2024.02.06	14:00:00	22.294	22.315	22.252	22.314	1332	0	8
2024.02.06	15:00:00	22.314	22.360	22.288	22.325	2231	0	10
2024.02.06	16:00:00	22.324	22.377	22.270	22.322	3878	0	8
2024.02.06	17:00:00	22.323	22.479	22.289	22.452	5071	0	19
2024.02.06	18:00:00	22.453	22.462	22.403	22.420	3202	0	8
2024.02.06	19:00:00	22.421	22.461	22.360	22.434	2367	0	8
2024.02.06	20:00:00	22.435	22.458	22.370	22.444	1985	0	8
2024.02.06	21:00:00	22.444	22.451	22.402	22.417	1348	0	8
2024.02.06	22:00:00	22.417	22.442	22.400	22.416	1069	0	8
2024.02.06	23:00:00	22.407	22.430	22.390	22.415	732	0	11
2024.02.07	01:00:00	22.423	22.423	22.393	22.394	283	0	18
2024.02.07	02:00:00	22.399	22.419	22.384	22.415	510	0	18
2024.02.07	03:00:00	22.418	22.438	22.376	22.402	1285	0	18
2024.02.07	04:00:00	22.400	22.425	22.357	22.374	1218	0	18
2024.02.07	05:00:00	22.371	22.373	22.282	22.317	941	0	15
2024.02.07	06:00:00	22.315	22.347	22.307	22.335	626	0	18
2024.02.07	07:00:00	22.336	22.340	22.241	22.247	1144	0	18
2024.02.07	08:00:00	22.246	22.290	22.231	22.285	1181	0	18
2024.02.07	09:00:00	22.284	22.346	22.268	22.300	1637	0	8
2024.02.07	10:00:00	22.301	22.302	22.202	22.235	2270	0	8
2024.02.07	11:00:00	22.236	22.290	22.213	22.273	2029	0	8
2024.02.07	12:00:00	22.274	22.278	22.213	22.240	1817	0	8
2024.02.07	13:00:00	22.239	22.323	22.220	22.279	1518	0	8
2024.02.07	14:00:00	22.279	22.290	22.249	22.277	1402	0	6
2024.02.07	15:00:00	22.278	22.313	22.210	22.308	3227	0	8
2024.02.07	16:00:00	22.309	22.437	22.262	22.384	5689	0	8
2024.02.07	17:00:00	22.384	22.425	22.277	22.369	5821	0	19
2024.02.07	18:00:00	22.367	22.419	22.313	22.326	2631	0	8
2024.02.07	19:00:00	22.326	22.326	22.261	22.315	2032	0	8
2024.02.07	20:00:00	22.315	22.340	22.217	22.218	2103	0	8
2024.02.07	21:00:00	22.218	22.239	22.206	22.222	1105	0	8
2024.02.07	22:00:00	22.220	22.226	22.200	22.202	995	0	8
2024.02.07	23:00:00	22.193	22.209	22.175	22.193	488	0	9
2024.02.08	01:00:00	22.174	22.182	22.160	22.172	589	0	18
2024.02.08	02:00:00	22.177	22.221	22.166	22.208	662	0	16
2024.02.08	03:00:00	22.210	22.232	22.168	22.215	1178	0	18
2024.02.08	04:00:00	22.215	22.249	22.212	22.227	1010	0	18
2024.02.08	05:00:00	22.228	22.241	22.207	22.218	821	0	18
2024.02.08	06:00:00	22.217	22.257	22.215	22.238	515	0	18
2024.02.08	07:00:00	22.244	22.322	22.222	22.316	839	0	15
2024.02.08	08:00:00	22.318	22.373	22.299	22.346	1070	0	18
2024.02.08	09:00:00	22.347	22.368	22.303	22.320	1650	0	8
2024.02.08	10:00:00	22.318	22.333	22.233	22.287	1611	0	8
2024.02.08	11:00:00	22.288	22.375	22.279	22.369	1554	0	8
2024.02.08	12:00:00	22.371	22.430	22.371	22.387	1667	0	8
2024.02.08	13:00:00	22.387	22.396	22.309	22.341	1698	0	8
2024.02.08	14:00:00	22.340	22.340	22.258	22.283	1963	0	8
2024.02.08	15:00:00	22.284	22.297	22.144	22.157	4492	0	8
2024.02.08	16:00:00	22.157	22.581	22.134	22.340	6093	0	8
2024.02.08	17:00:00	22.342	22.466	22.267	22.459	4922	0	19
2024.02.08	18:00:00	22.460	22.507	22.421	22.501	2512	0	8
2024.02.08	19:00:00	22.500	22.547	22.462	22.544	1750	0	8
2024.02.08	20:00:00	22.545	22.627	22.534	22.572	2395	0	8
2024.02.08	21:00:00	22.573	22.602	22.549	22.571	1324	0	7
2024.02.08	22:00:00	22.571	22.604	22.563	22.570	1151	0	8
2024.02.08	23:00:00	22.561	22.585	22.554	22.564	368	0	11
2024.02.09	01:00:00	22.577	22.582	22.557	22.569	489	0	18
2024.02.09	02:00:00	22.571	22.576	22.539	22.542	569	0	18
2024.02.09	03:00:00	22.548	22.600	22.543	22.584	694	0	18
2024.02.09	04:00:00	22.589	22.605	22.576	22.590	551	0	18
2024.02.09	05:00:00	22.590	22.644	22.586	22.644	554	0	18
2024.02.09	06:00:00	22.644	22.648	22.601	22.601	546	0	18
2024.02.09	07:00:00	22.598	22.615	22.571	22.586	561	0	18
2024.02.09	08:00:00	22.588	22.671	22.584	22.663	718	0	18
2024.02.09	09:00:00	22.662	22.710	22.642	22.678	1295	0	8
2024.02.09	10:00:00	22.679	22.709	22.607	22.636	1812	0	8
2024.02.09	11:00:00	22.635	22.652	22.597	22.608	1570	0	8
2024.02.09	12:00:00	22.614	22.634	22.587	22.624	1260	0	8
2024.02.09	13:00:00	22.625	22.674	22.619	22.655	1209	0	8
2024.02.09	14:00:00	22.654	22.674	22.582	22.584	1688	0	8
2024.02.09	15:00:00	22.583	22.716	22.507	22.521	5574	0	8
