DATETIME,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>,RSI
2022-05-17 04:00:00,21.597,21.643,21.541,21.613,1270,0,10,70.27558170819657
2022-05-17 05:00:00,21.612,21.627,21.555,21.565,791,0,12,65.54619689631069
2022-05-17 06:00:00,21.565,21.574,21.532,21.544,717,0,14,63.531759266494646
2022-05-17 07:00:00,21.544,21.606,21.544,21.569,331,0,13,64.91418954525365
2022-05-17 08:00:00,21.569,21.661,21.564,21.654,600,0,7,69.19056440109894
2022-05-17 09:00:00,21.654,21.688,21.618,21.67,1216,0,8,69.93343606630903
2022-05-17 10:00:00,21.67,21.67,21.538,21.596,2124,0,9,62.43524825038161
2022-05-17 11:00:00,21.595,21.78,21.587,21.745,1817,0,6,69.52133705411163
2022-05-17 12:00:00,21.745,21.855,21.708,21.768,1563,0,6,70.44803599701832
2022-05-17 13:00:00,21.767,21.806,21.741,21.759,1241,0,9,69.55682231273063
2022-05-17 14:00:00,21.76,21.908,21.715,21.802,2168,0,9,71.4173095362644
2022-05-17 15:00:00,21.802,21.812,21.63,21.728,1983,0,4,64.15138784024143
2022-05-17 16:00:00,21.723,21.77,21.643,21.706,2080,0,7,62.12767912225373
2022-05-17 17:00:00,21.702,21.737,21.634,21.713,2145,0,0,62.532678758214125
2022-05-17 18:00:00,21.713,21.727,21.678,21.682,716,0,5,59.498194845615494
2022-05-17 19:00:00,21.682,21.766,21.652,21.708,353,0,0,61.198859309291684
2022-05-17 20:00:00,21.708,21.751,21.699,21.715,621,0,6,61.6655645781224
2022-05-17 21:00:00,21.714,21.73,21.506,21.573,1935,0,7,48.83362836603698
2022-05-17 22:00:00,21.572,21.628,21.558,21.589,937,0,8,50.09377341011956
2022-05-17 23:00:00,21.588,21.621,21.571,21.605,334,0,12,51.38322992495588
2022-05-18 01:00:00,21.625,21.64,21.615,21.62,172,0,12,52.61920654515937
2022-05-18 02:00:00,21.617,21.625,21.59,21.62,290,0,17,52.61920654515938
2022-05-18 03:00:00,21.62,21.682,21.62,21.647,486,0,17,55.00707423992919
2022-05-18 04:00:00,21.647,21.667,21.539,21.562,1102,0,10,46.97994461557972
2022-05-18 05:00:00,21.562,21.571,21.516,21.554,903,0,13,46.29519252112983
2022-05-18 06:00:00,21.554,21.563,21.454,21.509,799,0,17,42.539258183159845
2022-05-18 07:00:00,21.513,21.538,21.493,21.534,453,0,15,45.19925278459421
2022-05-18 08:00:00,21.534,21.599,21.507,21.599,794,0,11,51.487392417562525
2022-05-18 09:00:00,21.599,21.658,21.519,21.519,957,0,11,44.69047516457027
2022-05-18 10:00:00,21.519,21.67,21.501,21.65,1034,0,8,55.13492318685568
2022-05-18 11:00:00,21.65,21.671,21.567,21.616,1453,0,10,52.37074145264311
2022-05-18 12:00:00,21.617,21.737,21.603,21.737,895,0,10,60.04745603063621
2022-05-18 13:00:00,21.737,21.747,21.635,21.659,1244,0,7,54.00480028352307
2022-05-18 14:00:00,21.659,21.666,21.558,21.574,1774,0,3,48.300599925113104
2022-05-18 15:00:00,21.574,21.655,21.553,21.578,1498,0,11,48.57586754638955
2022-05-18 16:00:00,21.574,21.673,21.415,21.421,2003,0,5,39.65190015316851
2022-05-18 17:00:00,21.421,21.541,21.372,21.498,2009,0,4,44.989642791717515
2022-05-18 18:00:00,21.498,21.605,21.412,21.566,1715,0,4,49.25803376633468
2022-05-18 19:00:00,21.566,21.624,21.534,21.592,1398,0,6,50.82903868774768
